AG-X,AG-Y,AG-Z,Acc-X,Axx-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
8.907755,37.12034,16.002125,3.5898361,25.530966,7.4231863,0.7391078,9.665133,1.4863658,0.97334725,-3.5975807,1.2270085,0.003008495,-0.6448897,-0.76195437,0.05944596,downstairs
4.5863113,6.199498,0.08656463,3.2643423,-3.3967733,-1.4576795,1.3129902,9.565254,1.7182442,-0.39551634,3.1103837,-0.09924461,-0.023732586,-0.6404496,-0.76394236,0.07518794,downstairs
0.10197589,9.581913,3.636664,-1.5996143,-0.1808796,0.8445343,1.0124935,9.575923,1.8565931,0.8316672,0.5622734,0.004085952,0.030436162,-0.6419783,-0.75726163,0.11615621,downstairs
0.22174981,8.939925,3.1336133,-0.9885583,-0.025631905,1.6312824,1.0289164,9.5806875,1.8226757,-1.7974032,-0.12482159,0.27679342,0.028654814,-0.6354832,-0.76261985,0.11726432,downstairs
-0.8753794,3.617172,1.1741118,-1.8216333,-3.6218176,-0.14890099,1.2704458,9.296034,2.8530889,-3.1865067,-0.2036511,0.95962733,0.012456796,-0.6001897,-0.7905039,0.12132904,downstairs
0.015738657,7.081034,1.6244619,-1.9587791,-2.7101612,-3.1594338,2.0117624,8.384587,4.671392,-0.939866,-0.5743628,1.5891981,-0.017133305,-0.51291674,-0.8420811,0.1658984,downstairs
0.78708273,20.193884,2.280823,-2.1258926,16.77898,-4.4397736,2.2571328,8.285785,4.735135,0.70170504,-0.38048482,1.1833327,-0.03691511,-0.50581753,-0.8410022,0.18841745,downstairs
2.871149,4.790957,6.333973,-1.6809258,-2.116447,2.46348,2.9008775,8.2475,4.442301,1.2332715,-0.13121317,0.74231356,-0.047805533,-0.5168886,-0.8302114,0.20319915,downstairs
1.6925737,4.637646,5.284753,0.02166915,-4.4506288,0.70758915,2.7705479,8.449024,4.136234,1.5965264,1.2110189,-0.96849966,-0.0367526,-0.5348808,-0.81707233,0.21200143,downstairs
1.4290711,9.696897,2.0796027,-0.82643306,-0.49070454,0.5501702,1.6209686,9.113468,3.2384493,2.3922784,1.5348591,-1.7951442,0.034444135,-0.5744548,-0.7930932,0.19954564,downstairs
