AG-X,AG-Y,AG-Z,Acc-X,Acc-Y,Acc-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,cos,activity
-1.3161473,12.605007,0.1344742,-1.5333338,-4.1544905,1.4595522,-0.8276171,9.771522,-0.053102784,-0.18246368,-0.61164707,0.33431765,0.31489548,-0.63625973,-0.65572363,0.2569843,downstairs
0.20258598,9.56754,0.5369146,0.38553196,-0.20696545,0.48190188,-0.790347,9.774369,0.08630083,-0.47754166,-0.027882608,0.16174495,0.30794835,-0.6373962,-0.6588131,0.2546746,downstairs
-1.5700681,8.034434,0.009909317,-1.1420398,-0.6617346,0.016251624,-0.8793534,9.766906,0.06847786,0.01780588,-0.26330584,-0.0907225,0.30143675,-0.6369057,-0.6657759,0.24541688,downstairs
-3.1079652,-4.187297,0.42193162,-0.6740065,-12.538955,-0.2819358,-0.6774609,9.780551,0.22860691,-0.44451848,-0.5051207,1.1343305,0.2914508,-0.63513833,-0.6691815,0.25268918,downstairs
2.6843019,-6.534866,4.4894543,3.1898274,-8.673156,0.14320162,-0.8817831,9.750691,0.5629147,-0.29538158,-0.33574376,-3.8457766,0.2816128,-0.62842476,-0.6804101,0.2506365,downstairs
-17.025696,71.69667,-10.7793255,-11.595978,58.72776,-11.49014,-1.4913139,9.67327,0.61172813,-0.2794026,4.317327,-0.26222992,0.32990873,-0.61928195,-0.6896382,0.17902306,downstairs
-3.3810499,3.9046295,3.0330033,0.8112099,-0.6514921,-3.4216454,-2.1603177,9.559057,0.35753122,-0.47967216,-2.1701276,0.3918419,0.34595025,-0.6040427,-0.686663,0.20963018,downstairs
-1.3736389,11.522251,1.0974566,0.88777363,2.1481152,-0.08636287,-2.0696216,9.576951,0.4111786,0.5898524,-0.06836262,-0.056634072,0.32793328,-0.6085573,-0.6942609,0.20029882,downstairs
-2.710316,7.584085,-1.628598,0.34054017,0.13968945,-1.2192371,-2.0175295,9.595234,0.17731136,-0.2229437,-0.5583839,0.28851134,0.322566,-0.6236231,-0.6870597,0.18706803,downstairs
-1.9102261,9.802298,0.99205554,0.23903799,0.30091667,1.9838169,-1.9844288,9.601398,0.21347068,-0.00562992,-0.31550375,0.08398072,0.3135677,-0.6251426,-0.6904809,0.1846841,downstairs
-2.710316,10.022681,0.26383004,-0.76257956,0.6356516,0.65785384,-1.9047339,9.615795,0.28079528,-0.19524683,-0.4390743,0.27892396,0.300689,-0.62736243,-0.6950189,0.18152466,downstairs
-2.1497738,9.692105,1.4184507,-0.64730656,0.28617382,1.0837066,-1.79971,9.63221,0.3898171,-0.45091006,-0.49659854,0.48665032,0.2953328,-0.6274042,-0.69739103,0.18107527,downstairs
-1.0957633,9.749597,1.1118294,-0.09599054,-0.4778719,0.5997304,-1.40336,9.674171,0.7819026,-0.55424064,-0.54453546,0.7678799,0.28087693,-0.62586653,-0.7043689,0.1823835,downstairs
-0.6310406,9.998727,0.9776826,0.550686,0.27180004,0.056015253,-0.995138,9.686752,1.1605613,-0.75024915,-0.38261536,0.6048946,0.256567,-0.62382936,-0.71354324,0.18938409,downstairs
-0.48731184,9.1124,2.0604389,0.86956275,-0.65367126,0.10150945,-0.78033787,9.670257,1.4309472,-0.49884692,0.10314481,0.24909656,0.22461563,-0.6159318,-0.72873133,0.197804,downstairs
-0.8753794,9.150727,2.3095686,-0.10590148,-0.50469685,0.7738215,-0.6842542,9.650555,1.6027993,-0.48819426,0.25334698,0.17133233,0.21763471,-0.6098344,-0.7341743,0.20426765,downstairs
